"","X1","X2","departamento"
"1",290,1,"Amazonas"
"2",9018,3,"Ancash"
"3",3049,2,"Apurímac"
"4",11243,0,"Arequipa"
"5",7143,2,"Ayacucho"
"6",15355,6,"Cajamarca"
"7",14730,20.8,"Callao"
"8",13461,8,"Cusco"
"9",3004,2,"Huancavelica"
"10",5648,2,"Huánuco"
"11",6610,20.8,"Ica"
"12",10129,0,"Junín"
"13",13497,3,"La Libertad"
"14",12383,2,"Lambayeque"
"15",15254.6,20.8,"Lima"
"16",12332,5,"Loreto"
"17",2527,0,"Madre de Dios"
"18",3384,0,"Moquegua"
"19",3667,2,"Pasco"
"20",14853,3,"Piura"
"21",9489,10,"Puno"
"22",8542,5,"San Martín"
"23",3984,4,"Tacna"
"24",2273,1,"Tumbes"
"25",6865,11,"Ucayali"
